job_id,job_title,industry,location,salary_usd,skills_required,remote_option,company_size,posting_date
1,Quantum Researcher,Quantum Computing,Singapore,175780,"linear algebra, quantum algorithms",No,Large,2025-07-22
2,Renewable Energy Engineer,Green Tech,Singapore,137481,"climate data analysis, energy modeling",Yes,Large,2025-09-26
3,Quantum Researcher,Quantum Computing,Tokyo,182081,"linear algebra, qiskit",No,Medium,2025-12-31
4,Sustainability Analyst,Green Tech,Singapore,113822,"climate data analysis, energy modeling",No,Large,2025-05-29
5,Smart Contract Engineer,Blockchain,London,92575,"rust, solidity",Yes,Small,2025-03-30
6,Smart Contract Engineer,Blockchain,Tokyo,173379,"solidity, rust",Yes,Medium,2025-08-10
7,Renewable Energy Engineer,Green Tech,New York,99659,"climate data analysis, energy modeling",No,Small,2025-05-27
8,Quantum Software Developer,Quantum Computing,London,210842,"qiskit, quantum algorithms",Yes,Large,2025-04-13
9,Sustainability Analyst,Green Tech,New York,189475,"climate data analysis, energy modeling",No,Small,2025-04-12
10,Blockchain Developer,Blockchain,Tokyo,228992,"ethereum, solidity",No,Large,2025-06-28
11,Quantum Researcher,Quantum Computing,New York,122847,"quantum algorithms, qiskit",Yes,Small,2025-02-09
12,Ai Engineer,Ai,Singapore,136880,"tensorflow, pytorch",Yes,Small,2025-03-15
13,Data Scientist,Ai,Singapore,50387,"python, tensorflow",Yes,Medium,2025-03-02
14,Quantum Researcher,Quantum Computing,Dubai,194786,"linear algebra, qiskit",No,Large,2025-05-02
15,Smart Contract Engineer,Blockchain,Berlin,54857,"rust, ethereum",Yes,Large,2025-12-06
16,Blockchain Developer,Blockchain,Tokyo,189314,"solidity, ethereum",No,Medium,2025-07-23
17,Renewable Energy Engineer,Green Tech,London,214393,"climate data analysis, energy modeling",Yes,Small,2025-04-11
18,Data Scientist,Ai,Singapore,190743,"tensorflow, python",Yes,Small,2025-10-07
19,Quantum Software Developer,Quantum Computing,Dubai,127617,"qiskit, quantum algorithms",Yes,Large,2025-02-23
20,Data Scientist,Ai,Berlin,121525,"python, tensorflow",Yes,Large,2025-12-15
21,Smart Contract Engineer,Blockchain,Tokyo,180309,"solidity, ethereum",Yes,Small,2025-11-23
22,Quantum Researcher,Quantum Computing,New York,179393,"quantum algorithms, linear algebra",No,Small,2025-06-15
23,Quantum Software Developer,Quantum Computing,Berlin,169818,"qiskit, linear algebra",Yes,Large,2025-07-16
24,Sustainability Analyst,Green Tech,New York,183315,"climate data analysis, energy modeling",No,Large,2025-01-24
25,Quantum Researcher,Quantum Computing,Tokyo,130298,"qiskit, quantum algorithms",No,Large,2025-10-13
26,Blockchain Developer,Blockchain,New York,147535,"rust, ethereum",Yes,Large,2025-07-19
27,Quantum Software Developer,Quantum Computing,Berlin,143783,"linear algebra, qiskit",No,Small,2025-02-10
28,Smart Contract Engineer,Blockchain,Dubai,228902,"solidity, rust",No,Small,2025-01-01
29,Ai Engineer,Ai,New York,107735,"pytorch, tensorflow",Yes,Medium,2025-12-18
30,Quantum Software Developer,Quantum Computing,Tokyo,160752,"qiskit, linear algebra",No,Small,2025-04-05
31,Renewable Energy Engineer,Green Tech,London,103065,"climate data analysis, energy modeling",No,Large,2025-05-04
32,Renewable Energy Engineer,Green Tech,London,94222,"energy modeling, climate data analysis",No,Medium,2025-07-13
33,Smart Contract Engineer,Blockchain,Singapore,240202,"solidity, ethereum",No,Large,2025-11-06
34,Ai Engineer,Ai,Berlin,175142,"tensorflow, pytorch",Yes,Large,2025-01-18
35,Ai Engineer,Ai,London,200374,"pytorch, python",Yes,Small,2025-03-16
36,Blockchain Developer,Blockchain,London,148378,"ethereum, solidity",Yes,Medium,2025-10-06
37,Quantum Researcher,Quantum Computing,Tokyo,195771,"qiskit, linear algebra",Yes,Large,2025-02-25
38,Renewable Energy Engineer,Green Tech,Singapore,201161,"energy modeling, climate data analysis",No,Large,2025-10-13
39,Ml Researcher,Ai,Berlin,76133,"tensorflow, python",Yes,Small,2025-12-27
40,Blockchain Developer,Blockchain,London,187672,"rust, solidity",Yes,Large,2025-10-12
41,Quantum Software Developer,Quantum Computing,Tokyo,227029,"linear algebra, quantum algorithms",No,Medium,2025-12-31
42,Smart Contract Engineer,Blockchain,Dubai,96432,"ethereum, rust",No,Small,2025-05-14
43,Quantum Software Developer,Quantum Computing,London,145451,"linear algebra, quantum algorithms",Yes,Medium,2025-07-09
44,Ml Researcher,Ai,London,56990,"python, tensorflow",No,Small,2025-03-06
45,Blockchain Developer,Blockchain,Dubai,155708,"ethereum, solidity",No,Small,2025-01-30
46,Quantum Software Developer,Quantum Computing,London,222633,"qiskit, quantum algorithms",No,Large,2025-08-08
47,Renewable Energy Engineer,Green Tech,Singapore,188452,"energy modeling, climate data analysis",Yes,Small,2025-01-19
48,Renewable Energy Engineer,Green Tech,New York,168462,"energy modeling, climate data analysis",Yes,Large,2025-12-25
49,Quantum Software Developer,Quantum Computing,New York,54770,"quantum algorithms, linear algebra",No,Small,2025-05-26
50,Quantum Researcher,Quantum Computing,Dubai,224859,"linear algebra, quantum algorithms",Yes,Medium,2025-06-26
51,Renewable Energy Engineer,Green Tech,New York,87478,"climate data analysis, energy modeling",Yes,Large,2025-02-18
52,Ai Engineer,Ai,New York,98138,"python, tensorflow",Yes,Small,2025-08-25
53,Sustainability Analyst,Green Tech,Singapore,213723,"climate data analysis, energy modeling",Yes,Medium,2025-11-06
54,Smart Contract Engineer,Blockchain,Berlin,178953,"rust, solidity",No,Large,2025-01-26
55,Smart Contract Engineer,Blockchain,Berlin,53902,"ethereum, solidity",No,Large,2025-05-08
56,Ml Researcher,Ai,Berlin,144942,"tensorflow, pytorch",Yes,Medium,2025-12-06
57,Quantum Researcher,Quantum Computing,New York,177875,"quantum algorithms, linear algebra",No,Small,2025-01-24
58,Quantum Software Developer,Quantum Computing,New York,60387,"quantum algorithms, qiskit",Yes,Small,2025-11-16
59,Sustainability Analyst,Green Tech,Singapore,148827,"energy modeling, climate data analysis",Yes,Small,2025-03-13
60,Smart Contract Engineer,Blockchain,New York,237964,"ethereum, rust",No,Medium,2025-04-18
61,Blockchain Developer,Blockchain,Tokyo,123218,"rust, solidity",Yes,Small,2025-08-21
62,Renewable Energy Engineer,Green Tech,Singapore,228583,"climate data analysis, energy modeling",No,Large,2025-09-03
63,Smart Contract Engineer,Blockchain,Tokyo,92895,"rust, ethereum",No,Small,2025-12-21
64,Blockchain Developer,Blockchain,Dubai,79151,"rust, solidity",Yes,Large,2025-05-27
65,Quantum Researcher,Quantum Computing,London,80631,"quantum algorithms, qiskit",Yes,Medium,2025-03-15
66,Ai Engineer,Ai,Dubai,131254,"pytorch, python",No,Small,2025-05-17
67,Sustainability Analyst,Green Tech,Tokyo,233720,"energy modeling, climate data analysis",Yes,Medium,2025-10-19
68,Blockchain Developer,Blockchain,New York,220074,"ethereum, solidity",Yes,Large,2025-09-08
69,Smart Contract Engineer,Blockchain,Dubai,87609,"ethereum, rust",No,Large,2025-12-01
70,Renewable Energy Engineer,Green Tech,London,77980,"climate data analysis, energy modeling",No,Medium,2025-07-15
71,Blockchain Developer,Blockchain,Berlin,153287,"ethereum, solidity",Yes,Medium,2025-10-18
72,Renewable Energy Engineer,Green Tech,New York,92067,"climate data analysis, energy modeling",No,Medium,2025-01-02
73,Data Scientist,Ai,London,249885,"pytorch, python",No,Small,2025-05-15
74,Quantum Researcher,Quantum Computing,Singapore,59737,"quantum algorithms, linear algebra",No,Large,2025-12-03
75,Renewable Energy Engineer,Green Tech,Tokyo,190693,"climate data analysis, energy modeling",No,Large,2025-08-16
