ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-01-01,311.7250332,161.9999757129005,161.9999760014805,311.7250332,311.7250332,-149.72505734445704,-149.72505734445704,-149.72505734445704,-149.72505734445704,-149.72505734445704,-149.72505734445704,0.0,0.0,0.0,161.99997585554294
2025-02-01,271.3588948670659,133.99994985702617,133.99995015317776,271.3588948670659,271.3588948670659,-137.3589448631979,-137.3589448631979,-137.3589448631979,-137.3589448631979,-137.3589448631979,-137.3589448631979,0.0,0.0,0.0,133.99995000386798
2025-03-01,234.8991570161008,139.99992902592362,139.99992931346586,234.8991570161008,234.8991570161008,-94.89922784691608,-94.89922784691608,-94.89922784691608,-94.89922784691608,-94.89922784691608,-94.89922784691608,0.0,0.0,0.0,139.99992916918472
2025-04-01,194.53301868371915,116.99999333011888,116.9999936370186,194.53301868371915,194.53301868371915,-77.5330251945131,-77.5330251945131,-77.5330251945131,-77.5330251945131,-77.5330251945131,-77.5330251945131,0.0,0.0,0.0,116.99999348920605
2025-05-01,155.46901384696238,142.00005872535607,142.0000590243194,155.46901384696238,155.46901384696238,-13.468954974400436,-13.468954974400436,-13.468954974400436,-13.468954974400436,-13.468954974400436,-13.468954974400436,0.0,0.0,0.0,142.00005887256194
2025-06-01,115.10287551371387,130.00004428812443,130.00004457452332,115.10287551371387,115.10287551371387,14.897168918947974,14.897168918947974,14.897168918947974,14.897168918947974,14.897168918947974,14.897168918947974,0.0,0.0,0.0,130.00004443266184
2025-07-01,76.03887067768093,139.99999780256073,139.99999810383724,76.03887067768093,76.03887067768093,63.96112727175475,63.96112727175475,63.96112727175475,63.96112727175475,63.96112727175475,63.96112727175475,0.0,0.0,0.0,139.99999794943568
2025-08-01,35.672732347526626,142.9999532121462,142.99995351345544,35.672732347526626,35.672732347526626,107.32722100763283,107.32722100763283,107.32722100763283,107.32722100763283,107.32722100763283,107.32722100763283,0.0,0.0,0.0,142.99995335515945
2025-09-01,-4.693405984984912,138.99993559509713,138.99993588743706,-4.693405984984912,-4.693405984984912,143.6933417279827,143.6933417279827,143.6933417279827,143.6933417279827,143.6933417279827,143.6933417279827,0.0,0.0,0.0,138.9999357429978
2025-10-01,-43.7574108229772,139.9999671070479,139.99996740400917,-43.7574108229772,-43.7574108229772,183.75737807809233,183.75737807809233,183.75737807809233,183.75737807809233,183.75737807809233,183.75737807809233,0.0,0.0,0.0,139.99996725511514
2025-11-01,-84.12354915556928,126.00004708690146,126.00004740038224,-84.12354915556928,-84.12354915556928,210.123596393176,210.123596393176,210.123596393176,210.123596393176,210.123596393176,210.123596393176,0.0,0.0,0.0,126.00004723760672
2025-12-01,-123.18755399356156,144.00003124421275,144.00003155515182,-123.18755399356156,-123.18755399356156,267.18758539973203,267.18758539973203,267.18758539973203,267.18758539973203,267.18758539973203,267.18758539973203,0.0,0.0,0.0,144.00003140617048
2026-01-01,-163.55369232615357,-369.80524570789424,-369.80524534544963,-163.55369241773508,-163.55369223160451,-206.25155319922746,-206.25155319922746,-206.25155319922746,-206.25155319922746,-206.25155319922746,-206.25155319922746,0.0,0.0,0.0,-369.805245525381
2026-02-01,-203.91983065874564,-440.629674121558,-440.6296734278175,-203.9198309755956,-203.91983034293958,-236.70984311676028,-236.70984311676028,-236.70984311676028,-236.70984311676028,-236.70984311676028,-236.70984311676028,0.0,0.0,0.0,-440.6296737755059
2026-03-01,-240.3795685075385,-337.7023251441796,-337.7023238795181,-240.37956910589477,-240.37956788253197,-97.32275600804398,-97.32275600804398,-97.32275600804398,-97.32275600804398,-97.32275600804398,-97.32275600804398,0.0,0.0,0.0,-337.70232451558246
2026-04-01,-280.7457068401305,-183.9880659700308,-183.98806401887845,-280.7457077765217,-280.745705905144,96.75764183681972,96.75764183681972,96.75764183681972,96.75764183681972,96.75764183681972,96.75764183681972,0.0,0.0,0.0,-183.98806500331077
2026-05-01,-319.8097116781229,-334.8594907285935,-334.859487986258,-319.80971302592945,-319.8097103209022,-15.049777697679671,-15.049777697679671,-15.049777697679671,-15.049777697679671,-15.049777697679671,-15.049777697679671,0.0,0.0,0.0,-334.8594893758025
2026-06-01,-360.1758500107149,-344.1208002445813,-344.12079656620335,-360.17585181694517,-360.1758481465039,16.055051548463958,16.055051548463958,16.055051548463958,16.055051548463958,16.055051548463958,16.055051548463958,0.0,0.0,0.0,-344.12079846225095
2026-07-01,-399.2398548487072,-425.36809370502704,-425.36808898464454,-399.2398571435068,-399.23985244317225,-26.12823654972697,-26.12823654972697,-26.12823654972697,-26.12823654972697,-26.12823654972697,-26.12823654972697,0.0,0.0,0.0,-425.36809139843416
2026-08-01,-439.6059931812993,-458.9055407696922,-458.9055350479041,-439.6059959823103,-439.60599021376936,-19.29954478910717,-19.29954478910717,-19.29954478910717,-19.29954478910717,-19.29954478910717,-19.29954478910717,0.0,0.0,0.0,-458.9055379704065
2026-09-01,-479.9721315138913,-265.7941477578379,-265.7941409961725,-479.9721347853722,-479.972128018666,214.1779870492112,214.1779870492112,214.1779870492112,214.1779870492112,214.1779870492112,214.1779870492112,0.0,0.0,0.0,-265.79414446468013
2026-10-01,-519.0361363518836,-235.8488749365937,-235.84886697064596,-519.0361402536391,-519.0361323288134,283.1872653206972,283.1872653206972,283.1872653206972,283.1872653206972,283.1872653206972,283.1872653206972,0.0,0.0,0.0,-235.84887103118638
2026-11-01,-559.4022746844756,-308.3683092152881,-308.3683001368013,-559.4022792090803,-559.4022701240737,251.03396996246644,251.03396996246644,251.03396996246644,251.03396996246644,251.03396996246644,251.03396996246644,0.0,0.0,0.0,-308.36830472200916
2026-12-01,-598.4662795224679,-343.3966464589124,-343.3966359923576,-598.4662847666768,-598.4662743019765,255.06963827014818,255.06963827014818,255.06963827014818,255.06963827014818,255.06963827014818,255.06963827014818,0.0,0.0,0.0,-343.3966412523197
