ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-01-01,153.89758319999999,142.000008348196,142.00000835297416,153.89758319999999,153.89758319999999,-11.897574849409613,-11.897574849409613,-11.897574849409613,-11.897574849409613,-11.897574849409613,-11.897574849409613,0.0,0.0,0.0,142.00000835059038
2025-02-01,159.66438274011975,120.00000501953315,120.00000502442641,159.66438274011975,159.66438274011975,-39.66437771810029,-39.66437771810029,-39.66437771810029,-39.66437771810029,-39.66437771810029,-39.66437771810029,0.0,0.0,0.0,120.00000502201945
2025-03-01,164.87310461736342,132.00000589655622,132.00000590134863,164.87310461736342,164.87310461736342,-32.87309871850095,-32.87309871850095,-32.87309871850095,-32.87309871850095,-32.87309871850095,-32.87309871850095,0.0,0.0,0.0,132.00000589886247
2025-04-01,170.6399039305773,137.0000126756989,137.00001268032167,170.6399039305773,170.6399039305773,-33.63989125242674,-33.63989125242674,-33.63989125242674,-33.63989125242674,-33.63989125242674,-33.63989125242674,0.0,0.0,0.0,137.00001267815057
2025-05-01,176.22067735041693,138.00000202356526,138.00000202822935,176.22067735041693,176.22067735041693,-38.22067532458712,-38.22067532458712,-38.22067532458712,-38.22067532458712,-38.22067532458712,-38.22067532458712,0.0,0.0,0.0,138.00000202582982
2025-06-01,181.98747652641816,133.99999793554616,133.99999794000945,181.98747652641816,181.98747652641816,-47.9874785886768,-47.9874785886768,-47.9874785886768,-47.9874785886768,-47.9874785886768,-47.9874785886768,0.0,0.0,0.0,133.99999793774137
2025-07-01,187.56824993878794,152.0000321632995,152.0000321680558,187.56824993878794,187.56824993878794,-35.56821777316105,-35.56821777316105,-35.56821777316105,-35.56821777316105,-35.56821777316105,-35.56821777316105,0.0,0.0,0.0,152.0000321656269
2025-08-01,193.33504942902476,139.99999664538385,139.99999664994596,193.33504942902476,193.33504942902476,-53.335052781262874,-53.335052781262874,-53.335052781262874,-53.335052781262874,-53.335052781262874,-53.335052781262874,0.0,0.0,0.0,139.9999966477619
2025-09-01,191.658519638064,109.99998333941602,109.99998334420361,191.658519638064,191.658519638064,-81.65853629622865,-81.65853629622865,-81.65853629622865,-81.65853629622865,-81.65853629622865,-81.65853629622865,0.0,0.0,0.0,109.99998334183536
2025-10-01,190.0360714365577,148.00001715532693,148.00001716006346,190.0360714365577,190.0360714365577,-42.03605427872314,-42.03605427872314,-42.03605427872314,-42.03605427872314,-42.03605427872314,-42.03605427872314,0.0,0.0,0.0,148.00001715783458
2025-11-01,188.35954162833457,140.0000153320162,140.00001533664604,188.35954162833457,188.35954162833457,-48.3595262939983,-48.3595262939983,-48.3595262939983,-48.3595262939983,-48.3595262939983,-48.3595262939983,0.0,0.0,0.0,140.00001533433627
2025-12-01,186.7370934268283,143.99999661021218,143.99999661504305,186.7370934268283,186.7370934268283,-42.737096814276185,-42.737096814276185,-42.737096814276185,-42.737096814276185,-42.737096814276185,-42.737096814276185,0.0,0.0,0.0,143.9999966125521
2026-01-01,185.0605636186051,117.9214419700035,119.10899247921964,184.48224501296065,185.6697955178266,-66.56080303990112,-66.56080303990112,-66.56080303990112,-66.56080303990112,-66.56080303990112,-66.56080303990112,0.0,0.0,0.0,118.49976057870398
2026-02-01,183.38403381038194,233.31012936564315,237.08173814856974,181.55081129628027,185.32242007720768,51.75931806997086,51.75931806997086,51.75931806997086,51.75931806997086,51.75931806997086,51.75931806997086,0.0,0.0,0.0,235.14335188035278
