ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-01-01,183.6590434,130.0000020182023,130.0000020203508,183.6590434,183.6590434,-53.65904138074214,-53.65904138074214,-53.65904138074214,-53.65904138074214,-53.65904138074214,-53.65904138074214,0.0,0.0,0.0,130.00000201925786
2025-02-01,187.50788637314372,149.99999088789937,149.99999089002316,187.50788637314372,187.50788637314372,-37.507895484158,-37.507895484158,-37.507895484158,-37.507895484158,-37.507895484158,-37.507895484158,0.0,0.0,0.0,149.99999088898574
2025-03-01,187.75131553877245,134.99998306069946,134.9999830629828,187.75131553877245,187.75131553877245,-52.75133247696871,-52.75133247696871,-52.75133247696871,-52.75133247696871,-52.75133247696871,-52.75133247696871,0.0,0.0,0.0,134.99998306180373
2025-04-01,187.7448765211617,139.99999705407882,139.9999970562496,187.7448765211617,187.7448765211617,-47.74487946603319,-47.74487946603319,-47.74487946603319,-47.74487946603319,-47.74487946603319,-47.74487946603319,0.0,0.0,0.0,139.99999705512852
2025-05-01,187.62862069588923,152.99999757710043,152.99999757921614,187.62862069588923,187.62862069588923,-34.62862311771562,-34.62862311771562,-34.62862311771562,-34.62862311771562,-34.62862311771562,-34.62862311771562,0.0,0.0,0.0,152.9999975781736
2025-06-01,187.89779102369852,118.9999970031545,118.99999700532756,187.89779102369852,187.89779102369852,-68.89779401947968,-68.89779401947968,-68.89779401947968,-68.89779401947968,-68.89779401947968,-68.89779401947968,0.0,0.0,0.0,118.99999700421884
2025-07-01,188.0906188302614,138.99998308188626,138.99998308399705,188.0906188302614,188.0906188302614,-49.090635747327134,-49.090635747327134,-49.090635747327134,-49.090635747327134,-49.090635747327134,-49.090635747327134,0.0,0.0,0.0,138.99998308293428
2025-08-01,188.3808624302353,142.99999059615524,142.9999905983159,188.3808624302353,188.3808624302353,-45.380871832981114,-45.380871832981114,-45.380871832981114,-45.380871832981114,-45.380871832981114,-45.380871832981114,0.0,0.0,0.0,142.9999905972542
2025-09-01,168.77012114098773,143.0000035835856,143.00000358570995,168.77012114098773,168.77012114098773,-25.770117556436574,-25.770117556436574,-25.770117556436574,-25.770117556436574,-25.770117556436574,-25.770117556436574,0.0,0.0,0.0,143.00000358455117
2025-10-01,149.69621153683505,134.99999243166928,134.9999924337913,149.69621153683505,149.69621153683505,-14.696219104100397,-14.696219104100397,-14.696219104100397,-14.696219104100397,-14.696219104100397,-14.696219104100397,0.0,0.0,0.0,134.99999243273464
2025-11-01,129.9865049458773,141.99998506407061,141.99998506616186,129.9865049458773,129.9865049458773,12.013480119258544,12.013480119258544,12.013480119258544,12.013480119258544,12.013480119258544,12.013480119258544,0.0,0.0,0.0,141.99998506513583
2025-12-01,110.9125953417246,160.9999915865137,160.99999158858506,110.9125953417246,110.9125953417246,50.08739624584398,50.08739624584398,50.08739624584398,50.08739624584398,50.08739624584398,50.08739624584398,0.0,0.0,0.0,160.9999915875686
2026-01-01,91.20288875076683,30.837586699529165,34.32707442564292,89.4550768895984,92.94456461464851,-58.61749018998681,-58.61749018998681,-58.61749018998681,-58.61749018998681,-58.61749018998681,-58.61749018998681,0.0,0.0,0.0,32.58539856078002
2026-02-01,71.49318215980904,64.8459623784139,75.87326499471888,65.88714069731411,76.91444331373773,-1.0411783184815973,-1.0411783184815973,-1.0411783184815973,-1.0411783184815973,-1.0411783184815973,-1.0411783184815973,0.0,0.0,0.0,70.45200384132744
2026-03-01,53.69086652926649,-57.966079120718945,-36.412563735838006,42.833209309606296,64.38672469376378,-100.79928842993128,-100.79928842993128,-100.79928842993128,-100.79928842993128,-100.79928842993128,-100.79928842993128,0.0,0.0,0.0,-47.10842190066479
2026-04-01,33.981159938308735,-1.607382489571488,34.61963032550525,16.18747369300546,52.414486507221795,-17.79485618271299,-17.79485618271299,-17.79485618271299,-17.79485618271299,-17.79485618271299,-17.79485618271299,0.0,0.0,0.0,16.186303755595745
2026-05-01,14.907250334156021,-45.181896679785325,8.950771544917131,-12.488404795304172,41.6442634286294,-32.69349188437534,-32.69349188437534,-32.69349188437534,-32.69349188437534,-32.69349188437534,-32.69349188437534,0.0,0.0,0.0,-17.78624155021932
2026-06-01,-4.802456256801738,-109.48363236017711,-36.187258014500536,-42.33126666047948,30.965107683881048,-67.15236569934049,-67.15236569934049,-67.15236569934049,-67.15236569934049,-67.15236569934049,-67.15236569934049,0.0,0.0,0.0,-71.95482195614223
2026-07-01,-23.87636586095445,-124.28596636814001,-32.42297765417601,-70.68942508672535,21.17356362743028,-53.596541282129195,-53.596541282129195,-53.596541282129195,-53.596541282129195,-53.596541282129195,-53.596541282129195,0.0,0.0,0.0,-77.47290714308365
